

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
ID 			 h 			 58 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 58 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 58 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 FALSE 			 58 			 FALSE 			 ---- 			 expression 			 Yes
---- 			 BREAK 			 58 			 DEFAULT 			 ---- 			 default 			 Yes
conditionalStmt 			 ---- 			 62 			 SWITCH 			 ---- 			 statements 			 No
---- 			 SWITCH 			 62 			 SWITCH 			 ---- 			 conditionalStmt 			 Yes
ID 			 h 			 62 			 ID 			 ---- 			 conditionalStmt 			 Yes
caseStmts 			 ---- 			 62 			 SWITCH 			 ---- 			 conditionalStmt 			 No
---- 			 CASE 			 64 			 CASE 			 ---- 			 caseStmts 			 Yes
value 			 ---- 			 64 			 CASE 			 ---- 			 caseStmts 			 No
---- 			 FALSE 			 64 			 FALSE 			 ---- 			 value 			 Yes
statements 			 ---- 			 64 			 CASE 			 ---- 			 caseStmts 			 No
declareStmt 			 ---- 			 64 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 64 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 A 			 64 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 64 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 REAL 			 64 			 REAL 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 65 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 65 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 Q 			 65 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 65 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 65 			 INTEGER 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 66 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 66 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 B 			 66 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 66 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 66 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 66 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 66 			 NUM 			 10 			 range_arrays 			 No
---- 			 NUM 			 66 			 NUM 			 10 			 index 			 Yes
index 			 ---- 			 66 			 NUM 			 10 			 range_arrays 			 No
---- 			 NUM 			 66 			 NUM 			 30 			 index 			 Yes
---- 			 INTEGER 			 66 			 INTEGER 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 67 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 67 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 E 			 67 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 67 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 67 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 67 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 67 			 NUM 			 4 			 range_arrays 			 No
---- 			 NUM 			 67 			 NUM 			 4 			 index 			 Yes
index 			 ---- 			 67 			 NUM 			 4 			 range_arrays 			 No
---- 			 NUM 			 67 			 NUM 			 10 			 index 			 Yes
---- 			 INTEGER 			 67 			 INTEGER 			 ---- 			 dataType 			 Yes
assignmentStmt 			 ---- 			 68 			 ID 			 ---- 			 statements 			 No
ID 			 B 			 68 			 ID 			 ---- 			 assignmentStmt 			 Yes
